Time		Subtitle		Translation
00:31:54		 bed I double check locks before bed I keep spare keys   		睡前仔细检查锁 我隐藏 备用 钥匙  我 隐藏 备 用 
00:32:00		 hidden I keep spare keys hidden I keep spare keys   		钥匙  我 隐藏 备用 钥匙 
00:32:09		 hidden I keep spare keys hidden I hug loved ones   		我隐藏备用钥匙 我 
00:32:17		 often I hug loved ones   		经常拥抱所爱的人 我拥抱所爱的人 我 
00:32:22		 often I hug loved ones often I express gratit ude   		经常拥抱亲人 我 
00:32:29		 daily I Express gratitude daily I Express gratitude   		每天表达感激之情 我每天 表达 感激 之 情  我 每 天 
00:32:37		 daily I Express gratitude daily I prepare lunch for   		表达感激之情 我每天表达感激之情 我 为 工作 准备 午餐 
00:32:44		 work I prepare lunch for work I prepare lunch for   		我为工作准备午餐 我 为 工作 准备 午餐 
00:32:53		 work I prepare lunch for work I eat it at my desk   		我为工作准备午餐 我 在 办公桌 上 吃 
00:32:58		 desk I eat it at my desk I eat it at my   		桌子 我在我的桌子上吃 我 在 我 的 桌子 上 吃 
00:33:06		 desk I cook dinner around 6 I cooked dinner around   		我在6点左右做饭 
00:33:12		 6 I cooked dinner around 6 I cooked dinner around   		我在6点左右煮了晚餐 我在 6 点 左右 煮 了 晚餐  我 在 
00:33:19		 6 I set the table shortly after I set the table shortly after   		6点 左右 煮 了 晚餐  我 摆好 桌子 后 不久 
00:33:28		 I set the table shortly after I set the table shortly   		我摆好桌子后不久 在 我 摆 好 桌子 后 不久 
00:33:36		 after I check for messages on my phone I check for messages on my   		我检查手机上的消息 我 检查 手机 上 的 消息 
00:33:43		 phone I check for messages on my phone I check for   		我 检查 手机 
00:33:51		 messages on my phone I check for messages on my phone   		上的消息 我检查 手机 上 的 消息  我 检查 手机 上 的 消息 
00:33:58		 I type a quick reply I type a quick   		我输入一个快速 回复  我 输入 一 个  快速 
00:34:03		 reply I type a quick reply I type a quick   		回复 我输入快速 回复  我 输入 快速 
00:34:11		 reply I unzip my backpack I unzip my   		回复 我拉开 背包 的 拉链  我 拉开 背包 的 拉链 
00:34:17		 backpack I unzip my backpack I unzip my   		我 拉开 背包 的 
00:34:24		 backpack I unzip my backpack I grab my essentials   		拉链 我拉开背包的拉链 我拉开背包的拉链 我 
00:34:30		 quickly I grab my essentials quickly I grab my essentials   		快速拿起我的必需品 我快速拿起我的必需品 我快速拿起我的 必需品 
00:34:39		 quickly I grab my essentials quickly I grab my essentials   		我快速拿起我的必需品 快速 获取 必需品  我 快速 拿起 必需品 
00:34:48		 quickly I unlock the phone screen I unlock the phone   		我解锁手机 屏幕  我 解锁 手机 
00:34:55		 screen I unlock the phone screen I browse through   		屏幕 我解锁手机 屏幕  我 浏览 
00:35:02		 notifications I browse through notifications I browse through   		通知 我浏览 通知  我 浏览 
00:35:11		 notifications I browse through   		通知 我浏览 
00:35:15		 notifications I plug in the charger I plug in the   		通知 我插入 充 电器  我 插入 
00:35:22		 charger I plug in the charger I plug in the charger   		充电器 我插入 在充电器中 我 插入 充电器 
00:35:29		 I wait for the battery to charge I wait for the battery to   		我等待电池 充电  我 等待 电池 充电 
00:35:35		 charge I wait for the battery to charge I wait for the battery to   		我 等待 电池 充电  我 等待 电池 
00:35:44		 charge I cook meals using fresh ingredients I cook   		充电 我使用新鲜 食材 做 饭  我 
00:35:52		 meals using fresh ingredients I cook meals using fresh   		使用新鲜 食材 做 饭  我 做 饭  使用 新鲜 
00:36:00		 ingredients I cook meals using fresh ingredients I experiment with new   		食材做饭 我使用新鲜 食材 做 饭 
00:36:08		 recipes I experiment with new recipes I experiment with new   		我试验新食谱 我试验新 
00:36:18		 recipes I experiment with new recipes I meditate in the   		食谱 我试验新食谱 我试验新 食谱  我 在 
00:36:25		 mornings I meditate in the mornings I meditate in the   		早晨冥想 我在 早晨 冥想  我 
00:36:33		 mornings I meditate in the mornings I practice deep breathing   		在早晨冥想 我在早晨冥想 我 练习 深 呼吸 
00:36:39		 exercises I practice deep breathing exercises I practice deep breathing   		练习 我练习深呼吸 练习  我 练习 
00:36:49		 exercises I practice deep breathing   		深呼吸练习 我练习深呼吸 
00:36:54		 exercises I fill the pets food bowl I fill the pets food   		练习 我装满宠物食品碗 我 装满 宠物 食品 
00:37:01		 bowl I fill the pets food bowl I fill the pets food   		碗 我装满宠物食品 碗  我 装满 宠物 食品 
00:37:09		 bowl I refill the water dish too I refill the water dish   		碗 我也装满水盘 我 也 给 水盘 加满 
00:37:17		 too I refill the water dish too I lock my phone   		我也给水盘加满 我 锁定 我 的 
00:37:24		 screen I lock my phone screen I lock my phone   		手机屏幕 我锁定我的手机屏幕 我 锁定 我 的 手机 
00:37:31		 screen I lock my phone screen I put it on silent   		屏幕 我锁定我的手机 屏幕  我 将 其 置于 静音 
00:37:37		 mode I put it on silent mode I put it on silent   		模式 我将其置于静音 模式  我 将 其 置于 静音 
00:37:48		 mode I put it on silent mode I iron clothes before   		模式 我将其置于静音 模式  穿着 前 熨烫 衣服 
00:37:55		 wearing I iron clothes CL before wearing I iron   		穿着前熨烫衣服 CL 穿着前 熨烫 
00:38:03		 clothes before wearing I iron clothes before   		衣服 穿着 前 熨烫 衣服  我 
00:38:10		 wearing I keep them wrinkle-free I keep them wrinkle   		保持无褶皱 
00:38:16		 free I keep them wrinkle-free I keep them wrinkle-free   		我保持无褶皱 我保持无褶皱 我 保持 无褶皱 
00:38:24		 I fix the leaky faucet promptly I fix the leaky faucet   		我立即修理漏水的水龙头 我 
00:38:31		 promptly I fix the leaky faucet promptly I fix the leaky faucet   		立即修理漏水的水龙头 我立即修理漏水的水龙头 我 
00:38:41		 promptly I fix the leaky faucet promptly I call a plumber for major   		立即修理漏水的水龙头 我立即修理漏水的水龙头 我为 重大 问题 致电 水管工 
00:38:49		 issues I call a plumber for major issues I call a plumber for major   		我为重大问题致电水管工 我 为 重大 问题 致电 水管工 
00:38:59		 issues I call a plumber for major issues thank you for joining me today if   		问题 我会打电话给水管工来解决重大 问题 ， 感谢 您 今天 加入 我 ， 如果 
00:39:06		 you like this lesson make sure you give it a like don't forget to subscribe with   		您喜欢本课程，请确保您 喜欢 ， 不 要 忘记 订阅 
00:39:10		 notifications and I will see you in the next class  		通知，我们将在下一堂课中见到您  
